Price,Close,High,Low,Open,Volume
Ticker,VCB,VCB,VCB,VCB,VCB
Date,,,,,
2020-06-10,89600.0,89800.0,89300.0,89500.0,793590
2020-06-11,88000.0,89600.0,87000.0,89500.0,1163900
2020-06-12,85600.0,86500.0,82500.0,82500.0,1612920
2020-06-15,82000.0,85800.0,81800.0,85600.0,1218540
2020-06-16,83700.0,84000.0,82400.0,84000.0,802980
2020-06-17,84200.0,85200.0,83800.0,85000.0,737830
2020-06-18,85000.0,86500.0,83900.0,84000.0,1809780
2020-06-19,85400.0,86000.0,85000.0,85000.0,723970
2020-06-22,85500.0,85600.0,85000.0,85000.0,1308600
2020-06-23,86000.0,87000.0,85300.0,85500.0,917230
2020-06-24,84700.0,86000.0,84100.0,86000.0,710160
2020-06-25,83700.0,84400.0,82700.0,82700.0,506650
2020-06-26,83300.0,84700.0,83000.0,84100.0,355930
2020-06-29,81500.0,83300.0,81100.0,83300.0,594140
2020-06-30,80300.0,82500.0,80000.0,82500.0,709990
2020-07-01,82700.0,82700.0,80000.0,80300.0,404440
2020-07-02,82600.0,83200.0,81000.0,83200.0,469040
2020-07-06,82900.0,83400.0,82400.0,83000.0,1218830
2020-07-07,83400.0,84200.0,83300.0,84000.0,1336830
2020-07-08,83000.0,83400.0,82800.0,83200.0,485190
2020-07-09,83600.0,83900.0,83300.0,83900.0,962170
2020-07-10,83600.0,83600.0,83600.0,83600.0,0
2020-07-13,82900.0,83500.0,82400.0,83400.0,371630
2020-07-14,83000.0,83000.0,82200.0,82900.0,427110
2020-07-15,83000.0,83000.0,83000.0,83000.0,0
2020-07-16,83500.0,83900.0,82900.0,83800.0,1091190
2020-07-17,82800.0,83600.0,82800.0,83600.0,628000
2020-07-20,82200.0,82700.0,81700.0,82500.0,696830
2020-07-21,82500.0,82800.0,81700.0,82500.0,681740
2020-07-22,82500.0,82500.0,82200.0,82500.0,625320
2020-07-23,82500.0,82800.0,82100.0,82500.0,1350870
2020-07-24,81000.0,82300.0,78500.0,82100.0,1341540
2020-07-27,77000.0,80000.0,76000.0,76000.0,1274570
2020-07-28,78500.0,78800.0,76500.0,77000.0,910690
2020-07-29,77500.0,78000.0,75100.0,76000.0,833570
2020-07-30,77400.0,78500.0,77300.0,77600.0,937680
2020-07-31,76400.0,77400.0,76000.0,76000.0,672940
2020-08-03,78800.0,78800.0,76000.0,76000.0,422820
2020-08-04,81900.0,81900.0,79400.0,80000.0,616840
2020-08-05,82700.0,83000.0,80400.0,81900.0,778840
2020-08-06,82800.0,83100.0,81900.0,82600.0,802350
2020-08-07,82900.0,83000.0,82400.0,83000.0,518660
2020-08-10,81900.0,83200.0,81900.0,83000.0,576570
2020-08-11,82100.0,82600.0,81800.0,82500.0,312920
2020-08-12,82100.0,82300.0,81900.0,82100.0,310430
2020-08-13,83000.0,83000.0,82000.0,82900.0,385320
2020-08-14,82000.0,83100.0,81900.0,83000.0,820270
2020-08-17,82300.0,82900.0,81700.0,82000.0,389480
2020-08-18,82300.0,82600.0,81700.0,82300.0,331690
2020-08-19,83000.0,83000.0,82000.0,82300.0,586790
2020-08-20,83000.0,84500.0,83000.0,83000.0,1093620
2020-08-21,82900.0,83200.0,82600.0,83000.0,1281740
2020-08-24,83900.0,84600.0,83000.0,83000.0,1530010
2020-08-25,83900.0,84900.0,83900.0,83900.0,1748400
2020-08-26,83500.0,83900.0,83400.0,83900.0,1585740
2020-08-27,83500.0,83900.0,83200.0,83500.0,1003280
2020-08-28,83400.0,83900.0,83300.0,83600.0,1645430
2020-08-31,83000.0,84500.0,82800.0,84000.0,971310
2020-09-01,83000.0,83300.0,82900.0,83000.0,1625600
2020-09-02,83000.0,83000.0,83000.0,83000.0,0
2020-09-03,86200.0,86500.0,83700.0,83700.0,2503810
2020-09-04,84900.0,86100.0,84800.0,85000.0,2425360
2020-09-08,82500.0,83900.0,82300.0,83600.0,1985560
2020-09-09,82200.0,83200.0,81500.0,82000.0,1472680
2020-09-10,82100.0,83300.0,82100.0,83000.0,689700
2020-09-11,82300.0,82600.0,81800.0,82100.0,665690
2020-09-14,83000.0,83100.0,82700.0,82800.0,594680
2020-09-15,82500.0,83500.0,82500.0,83000.0,998970
2020-09-16,82500.0,82500.0,82500.0,82500.0,0
2020-09-17,82500.0,83000.0,82000.0,82500.0,1043250
2020-09-18,82900.0,83000.0,82400.0,82400.0,1188400
2020-09-21,83000.0,83600.0,83000.0,83100.0,1671360
2020-09-22,84000.0,84400.0,82800.0,83000.0,1746960
2020-09-23,85400.0,85500.0,84200.0,84200.0,1395190
2020-09-24,86100.0,86200.0,84100.0,84100.0,1628730
2020-09-25,86000.0,86200.0,85500.0,86100.0,1107270
2020-09-28,86000.0,86200.0,85400.0,85800.0,1254760
2020-09-29,84600.0,86100.0,83800.0,86000.0,1609090
2020-09-30,84100.0,85000.0,83800.0,85000.0,584450
2020-10-01,84800.0,85100.0,84200.0,85100.0,367030
2020-10-02,84000.0,85000.0,80000.0,84800.0,890840
2020-10-05,83500.0,85000.0,83400.0,84500.0,811740
2020-10-06,83900.0,84400.0,83200.0,83800.0,1105060
2020-10-07,85000.0,85200.0,83100.0,83600.0,988270
2020-10-08,84800.0,85500.0,83800.0,85500.0,549140
2020-10-09,84800.0,85000.0,84500.0,84500.0,366200
2020-10-12,85900.0,87000.0,84800.0,86000.0,1574610
