Price,Close,High,Low,Open,Volume,Week
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT,
Date,,,,,,
2010-10-22,19.386146545410156,19.50836157960564,19.302125621583006,19.493084518218613,25837900,2010-10-18
2010-10-25,19.241016387939453,19.363229949704245,19.22573932849371,19.279207579653235,50912400,2010-10-25
2010-10-26,19.783336639404297,19.83680488449154,19.14171478455655,19.18754595768883,69304200,2010-10-25
2010-10-27,19.89791488647461,19.94374606704208,19.569466833811614,19.699318931618155,64805500,2010-10-25
2010-10-28,20.073596954345703,20.149979336884087,19.79861571512572,20.02012724690805,80730300,2010-10-25
2010-10-29,20.371492385864258,20.776325716258537,20.22636323619075,20.73813306797574,114193200,2010-10-25
2010-11-01,20.585372924804688,20.791607458834587,20.394413997698525,20.531903201418128,61912100,2010-11-01
2010-11-02,20.921459197998047,20.94437479330847,20.638840807007664,20.66939347718726,54402100,2010-11-01
2010-11-03,20.646472930908203,20.99783654187916,20.593003225112152,20.974920953680854,110255300,2010-11-01
2010-11-04,20.73050308227539,20.952016162909256,20.631205069616144,20.936739097299785,93599300,2010-11-01
2010-11-05,20.508987426757812,20.76869166345992,20.264560252661923,20.753414600853706,110953700,2010-11-01
2010-11-08,20.478439331054688,22.051942277163253,20.30275743005949,20.379141308679536,71670800,2010-11-08
2010-11-09,20.585372924804688,20.70758652160055,20.4020510727099,20.47843493493256,58538600,2010-11-08
2010-11-10,20.577730178833008,20.684666689904894,20.478430741208516,20.63119843436895,52277300,2010-11-08
2010-11-11,20.37912940979004,20.409682069258302,20.07359553060512,20.37912940979004,62073100,2010-11-08
2010-11-12,20.06596565246582,20.25692459139625,19.936113515717082,20.218731929469513,64962200,2010-11-08
2010-11-15,20.012496948242188,20.24164708722392,19.989581351583592,20.11179495329399,51794600,2010-11-15
2010-11-16,19.83572769165039,20.012490427685012,19.71276320231903,20.012490427685012,65339200,2010-11-15
2010-11-17,19.65127944946289,19.912579335700944,19.635908523013068,19.904893872476034,58299700,2010-11-15
2010-11-18,19.85878562927246,20.043232377630268,19.682024345327786,19.758876057754197,59514000,2010-11-15
2010-11-19,19.743505477905273,19.85109904189773,19.674337767952306,19.828042649962615,52423200,2010-11-15
2010-11-22,19.774250030517578,19.781935496113768,19.551377391638802,19.712767771600742,53350500,2010-11-22
2010-11-23,19.305450439453125,19.674344032765855,19.282394040176268,19.651287633488998,69742500,2010-11-22
2010-11-24,19.497577667236328,19.566743915498876,19.336185845683833,19.36692770344715,56825900,2010-11-22
2010-11-26,19.40534782409668,19.52831228710002,19.34386559259501,19.374605975419833,21356500,2010-11-22
2010-11-29,19.451465606689453,19.536004252841835,19.159425276298748,19.359242961661867,56603600,2010-11-29
2010-11-30,19.41304588317871,19.574436295900558,19.213228134675724,19.251654004603886,75282100,2010-11-29
2010-12-01,20.012495040893555,20.173885420649466,19.643600022010787,19.651285487597168,74123500,2010-11-29
2010-12-02,20.665742874145508,20.734910596504445,20.135458957197162,20.166199352771894,91759200,2010-11-29
2010-12-03,20.765644073486328,20.79638445664916,20.581197376953206,20.60425229786232,52622000,2010-11-29
2010-12-06,20.627315521240234,20.734909096748503,20.56583326868515,20.696483238596272,36264200,2010-12-06
2010-12-07,20.650373458862305,20.850189695209366,20.63500252811172,20.81176383418554,57860500,2010-12-06
2010-12-08,20.92704200744629,20.934727472499993,20.596574339399858,20.61963073456097,41666800,2010-12-06
2010-12-09,20.811763763427734,21.011581464948073,20.757966971836225,20.965470138705726,47148300,2010-12-06
